,code,pred,prob
8232,REFILL,NEW APPOINTMENT,0.8242277
10720,NEW APPOINTMENT,MEDICATION RELATED,0.48145196
8344,REFILL,REFILL,0.97949505
6389,REFILL,REFILL,0.99837554
9243,LAB RESULTS,OTHERS,0.34843528
5991,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.8782775
2724,MEDICATION RELATED,MEDICATION RELATED,0.48851565
4925,CANCELLATION,MEDICATION RELATED,0.29612234
6965,QUERIES FROM PHARMACY,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.36837557
10694,NEW APPOINTMENT,NEW APPOINTMENT,0.9842552
1812,MEDICATION RELATED,QUERIES FROM PHARMACY,0.4436465
5978,MEDICATION RELATED,QUERIES FROM PHARMACY,0.62951136
3170,REFILL,REFILL,0.971387
8869,CHANGE OF PROVIDER,PROVIDER,0.42164624
1568,MEDICATION RELATED,MEDICATION RELATED,0.44030526
1607,NEW APPOINTMENT,NEW APPOINTMENT,0.78441006
5043,REFILL,REFILL,0.7187604
1189,REFILL,REFILL,0.9962715
9061,OTHERS,NEW APPOINTMENT,0.2910335
3933,REFILL,MEDICATION RELATED,0.7122172
3566,NEW APPOINTMENT,RESCHEDULING,0.5996212
10705,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.9883718
1565,PROVIDER,MEDICATION RELATED,0.30023852
347,SYMPTOMS,MEDICATION RELATED,0.7802613
3309,REFILL,REFILL,0.85500693
4987,REFILL,REFILL,0.9960246
5951,MEDICATION RELATED,MEDICATION RELATED,0.61859494
2689,REFILL,MEDICATION RELATED,0.41484115
5031,OTHERS,NEW APPOINTMENT,0.7735702
3733,FOLLOW UP ON PREVIOUS REQUEST,MEDICATION RELATED,0.72395
2461,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.5492172
3318,REFILL,REFILL,0.9962715
67,REFILL,REFILL,0.78260154
8920,REFILL,MEDICATION RELATED,0.4424629
4771,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.5123287
7961,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.8782775
6596,QUERIES FROM PHARMACY,OTHERS,0.22937357
6391,REFILL,REFILL,0.95972854
7868,MEDICATION RELATED,MEDICATION RELATED,0.2964448
2565,REFILL,REFILL,0.54274696
6884,REFILL,REFILL,0.9960246
7452,REFILL,REFILL,0.99276054
5845,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.280983
8369,NEW APPOINTMENT,NEW APPOINTMENT,0.914108
3254,NEW APPOINTMENT,QUERY ON CURRENT APPOINTMENT,0.5007396
7437,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.47342905
10517,OTHERS,OTHERS,0.34843528
4,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.9340073
8731,CANCELLATION,NEW APPOINTMENT,0.6435142
3208,REFILL,REFILL,0.6105317
3191,REFILL,REFILL,0.9904156
222,MEDICATION RELATED,REFILL,0.6725348
3216,MEDICATION RELATED,REFILL,0.62258625
2471,NEW APPOINTMENT,MEDICATION RELATED,0.6377091
6540,MEDICATION RELATED,PROVIDER,0.6177689
3115,MEDICATION RELATED,MEDICATION RELATED,0.6548503
861,RESCHEDULING,NEW APPOINTMENT,0.97185004
6696,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.26842153
4485,NEW APPOINTMENT,NEW APPOINTMENT,0.9819817
214,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",MEDICATION RELATED,0.6931276
10524,OTHERS,OTHERS,0.34843528
10120,MEDICATION RELATED,MEDICATION RELATED,0.3504475
9244,PROVIDER,PROVIDER,0.7706384
9218,LAB RESULTS,NEW APPOINTMENT,0.80555344
931,MEDICATION RELATED,MEDICATION RELATED,0.39971316
2904,NEW APPOINTMENT,NEW APPOINTMENT,0.93062365
5399,REFILL,QUERIES FROM PHARMACY,0.78146946
